,0,aif,autonews,championat,commers,echo,express,fontanka,gazeta,govorit,indicator,interfax,iz,kp,lenta,mediazona,meduza,mk,moscow,motor,novaya,nplus1,ntv,postnauka,radiovesti,rbk,review,ria,rosgazeta,rt,sports,svoboda,tass,thebell,tv1,tvrain,vedomosti,zarulem,zvezda,sum
1701,you,83.0,0.0,18.0,236.0,35.0,107.0,167.0,1565.0,70.0,1.0,304.0,200.0,215.0,171.0,3.0,42.0,87.0,10.0,4.0,114.0,3.0,201.0,14.0,0.0,28.0,2.0,201.0,695.0,194.0,656.0,46.0,247.0,28.0,2.0,131.0,17.0,1.0,41.0,5939.0
5934,мордовия,120.0,0.0,23.0,593.0,67.0,18.0,42.0,215.0,23.0,1.0,282.0,162.0,1501.0,129.0,67.0,23.0,42.0,41.0,0.0,56.0,0.0,37.0,0.0,2.0,81.0,0.0,767.0,674.0,84.0,141.0,93.0,507.0,0.0,23.0,46.0,34.0,2.0,43.0,5939.0
8636,шанхай,135.0,13.0,181.0,449.0,82.0,11.0,81.0,376.0,34.0,4.0,364.0,413.0,389.0,178.0,5.0,36.0,72.0,53.0,63.0,48.0,2.0,59.0,0.0,4.0,118.0,61.0,665.0,518.0,80.0,164.0,49.0,951.0,16.0,51.0,26.0,97.0,41.0,49.0,5938.0
8657,дрон,147.0,2.0,11.0,332.0,126.0,0.0,119.0,397.0,46.0,10.0,276.0,537.0,434.0,266.0,28.0,86.0,170.0,54.0,22.0,116.0,65.0,124.0,1.0,3.0,238.0,3.0,451.0,692.0,184.0,11.0,114.0,306.0,11.0,154.0,46.0,66.0,9.0,270.0,5927.0
5235,монголия,191.0,1.0,20.0,468.0,56.0,0.0,31.0,332.0,19.0,16.0,279.0,263.0,420.0,125.0,7.0,19.0,53.0,41.0,11.0,40.0,9.0,77.0,4.0,20.0,95.0,10.0,1038.0,568.0,268.0,30.0,146.0,727.0,5.0,203.0,11.0,38.0,10.0,266.0,5917.0
6367,вто,155.0,0.0,0.0,472.0,83.0,0.0,41.0,319.0,15.0,0.0,811.0,382.0,96.0,227.0,2.0,16.0,49.0,0.0,1.0,14.0,0.0,38.0,2.0,5.0,223.0,1.0,979.0,439.0,391.0,0.0,10.0,891.0,15.0,30.0,9.0,132.0,11.0,53.0,5912.0
3059,игнатьев,155.0,0.0,36.0,462.0,189.0,43.0,37.0,611.0,75.0,0.0,344.0,328.0,1073.0,164.0,47.0,48.0,63.0,13.0,1.0,25.0,0.0,63.0,0.0,4.0,118.0,0.0,475.0,297.0,113.0,474.0,71.0,341.0,8.0,42.0,89.0,52.0,1.0,48.0,5910.0
8574,бари,193.0,0.0,4.0,40.0,16.0,1.0,51.0,855.0,116.0,1.0,125.0,253.0,1994.0,285.0,0.0,4.0,343.0,74.0,0.0,2.0,0.0,258.0,0.0,4.0,189.0,0.0,328.0,205.0,132.0,7.0,52.0,119.0,0.0,19.0,5.0,3.0,0.0,231.0,5909.0
3785,пфр,252.0,0.0,0.0,902.0,30.0,0.0,80.0,481.0,32.0,0.0,304.0,348.0,511.0,128.0,8.0,19.0,303.0,69.0,0.0,24.0,0.0,68.0,0.0,3.0,249.0,0.0,612.0,495.0,218.0,0.0,30.0,467.0,7.0,8.0,26.0,165.0,0.0,70.0,5909.0
3670,pro,103.0,9.0,32.0,615.0,36.0,5.0,75.0,523.0,40.0,2.0,128.0,289.0,532.0,346.0,12.0,217.0,83.0,70.0,96.0,39.0,2.0,61.0,0.0,0.0,181.0,69.0,249.0,1152.0,166.0,77.0,13.0,337.0,15.0,3.0,58.0,151.0,31.0,86.0,5903.0
